index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
7283,莫,6,,43,14,57,ㄇㄛˋ,mò
7284,摩擦,6,,15,10,25,ㄇㄛˊ ㄘㄚ,mó cā
7285,莫大,6,,11,5,16,ㄇㄛˋ ㄉㄚˋ,mò dà
7286,末端,6,,5,7,12,ㄇㄛˋ ㄉㄨㄢ,mò duān
7287,魔法,6,,9,6,15,ㄇㄛˊ ㄈㄚˇ,mó fǎ
7288,模範,6,,7,8,15,ㄇㄛˊ ㄈㄢˋ,mó fàn
7289,莫非,6,,8,1,9,ㄇㄛˋ ㄈㄟ,mò fēi
7290,磨練,6,,11,11,22,ㄇㄛˊ ㄌㄧㄢˋ,mó liàn
7291,沒落,6,,7,13,20,ㄇㄛˋ ㄌㄨㄛˋ,mò luò
7292,莫名,6,,14,6,20,ㄇㄛˋ ㄇㄧㄥˊ,mò míng
7293,莫名其妙,6,,14,7,21,ㄇㄛˋ ㄇㄧㄥˊ ㄑㄧˊ ㄇㄧㄠˋ,mò míng qí miào
7294,模擬,6,,14,31,45,ㄇㄛˊ ㄋㄧˇ,mó nǐ
7295,默契,6,,9,13,22,ㄇㄛˋ ㄑㄧˋ,mò qì
7296,末日,6,,7,8,15,ㄇㄛˋ ㄖˋ,mò rì
7297,模式,6,,125,63,188,ㄇㄛˊ ㄕˋ,mó shì
7298,沒收,6,,8,3,11,ㄇㄛˋ ㄕㄡ,mò shōu
7299,墨水,6,,7,3,10,ㄇㄛˋ ㄕㄨㄟˇ,mò shuǐ
7300,摸索,6,,15,18,33,ㄇㄛ ㄙㄨㄛˇ,mō suǒ
7301,謀略,6,,10,2,12,ㄇㄡˊ ㄌㄩㄝˋ,móu lüè
7302,謀殺,6,,37,2,39,ㄇㄡˊ ㄕㄚ,móu shā
7303,謀生,6,,9,10,19,ㄇㄡˊ ㄕㄥ,móu shēng
7304,幕,6,,42,16,58,ㄇㄨˋ,mù
7305,木板,6,,13,9,22,ㄇㄨˋ ㄅㄢˇ,mù bǎn
7306,墓碑,6,,8,2,10,ㄇㄨˋ ㄅㄟ,mù bēi
7307,目不轉睛,6,,5,1,6,ㄇㄨˋ ㄅㄨˋ ㄓㄨㄢˇ ㄐㄧㄥ,mù bù zhuǎn jīng
7308,木材,6,,11,19,30,ㄇㄨˋ ㄘㄞˊ,mù cái
7309,目瞪口呆,6,,9,1,10,ㄇㄨˋ ㄉㄥˋ ㄎㄡˇ ㄉㄞ,mù dèng kǒu dāi
7310,墓地,6,,9,1,10,ㄇㄨˋ ㄉㄧˋ,mù dì
7311,目睹,6,,21,8,29,ㄇㄨˋ ㄉㄨˇ,mù dǔ
7312,幕後,6,,8,7,15,ㄇㄨˋ ㄏㄡˋ,mù hòu
7313,目擊,6,,7,5,12,ㄇㄨˋ ㄐㄧˊ,mù jí
7314,募款,6,,7,17,24,ㄇㄨˋ ㄎㄨㄢˇ,mù kuǎn
7315,幕僚,6,,8,1,9,ㄇㄨˋ ㄌㄧㄠˊ,mù liáo
7316,目錄,6,,10,2,12,ㄇㄨˋ ㄌㄨˋ,mù lù
7317,牧師,6,,40,26,66,ㄇㄨˋ ㄕ,mù shī
7318,沐浴,6,,7,4,11,ㄇㄨˋ ㄩˋ,mù yù
7319,拇指,6,,8,4,12,ㄇㄨˇ ㄓˇ,mǔ zhǐ
7320,吶喊,6,,9,3,12,ㄋㄚˋ ㄏㄢˇ,nà hǎn
7321,納悶,6,,13,3,16,ㄋㄚˋ ㄇㄣˋ,nà mèn
7322,乃是/乃,6,,185,11,196,ㄋㄞˇ ㄕˋ/ㄋㄞˇ,nǎi shì/nǎi
7323,乃至,6,,24,2,26,ㄋㄞˇ ㄓˋ,nǎi zhì
7324,難2,6,,307,415,722,ㄋㄢˋ,nàn
7325,難關,6,,13,12,25,ㄋㄢˊ ㄍㄨㄢ,nán guān
7326,難堪,6,,13,3,16,ㄋㄢˊ ㄎㄢ,nán kān
7327,難民,6,,7,122,129,ㄋㄢˋ ㄇㄧㄣˊ,nàn mín
7328,喃喃,6,,16,1,17,ㄋㄢˊ ㄋㄢˊ,nán nán
7329,喃喃自語,6,,8,1,9,ㄋㄢˊ ㄋㄢˊ ㄗˋ ㄩˇ,nán nán zì yǔ
7330,難以置信,6,,10,1,11,ㄋㄢˊ ㄧˇ ㄓˋ ㄒㄧㄣˋ,nán yǐ zhì xìn
7331,男子漢,6,,6,4,10,ㄋㄢˊ ㄗˇ ㄏㄢˋ,nán zǐ hàn
7332,腦海,6,,33,10,43,ㄋㄠˇ ㄏㄞˇ,nǎo hǎi
7333,鬧劇,6,,5,0,5,ㄋㄠˋ ㄐㄩˋ,nào jù
7334,惱怒,6,,8,1,9,ㄋㄠˇ ㄋㄨˋ,nǎo nù
7335,鬧事,6,,5,0,5,ㄋㄠˋ ㄕˋ,nào shì
7336,內側,6,,10,3,13,ㄋㄟˋ ㄘㄜˋ,nèi cè
7337,內地,6,,9,4,13,ㄋㄟˋ ㄉㄧˋ,nèi dì
7338,內閣,6,,29,7,36,ㄋㄟˋ ㄍㄜˊ,nèi gé
7339,內涵,6,,23,12,35,ㄋㄟˋ ㄏㄢˊ,nèi hán
7340,內建,6,,3,1,4,ㄋㄟˋ ㄐㄧㄢˋ,nèi jiàn
7341,內幕,6,,6,0,6,ㄋㄟˋ ㄇㄨˋ,nèi mù
7342,內情,6,,6,1,7,ㄋㄟˋ ㄑㄧㄥˊ,nèi qíng
7343,內臟,6,,9,5,14,ㄋㄟˋ ㄗㄤˋ,nèi zàng
7344,內戰,6,,11,91,102,ㄋㄟˋ ㄓㄢˋ,nèi zhàn
7345,嫩,6,,11,18,29,ㄋㄣˋ,nèn
7346,能耐,6,,8,0,8,ㄋㄥˊ ㄋㄞˋ,néng nài
7347,逆,6,,16,8,24,ㄋㄧˋ,nì
7348,擬,6,,20,2,22,ㄋㄧˇ,nǐ
7349,溺愛,6,,5,2,7,ㄋㄧˋ ㄞˋ,nì ài
7350,擬定,6,,14,3,17,ㄋㄧˇ ㄉㄧㄥˋ,nǐ dìng
7351,匿名,6,,5,0,5,ㄋㄧˋ ㄇㄧㄥˊ,nì míng
7352,逆轉,6,,8,5,13,ㄋㄧˋ ㄓㄨㄢˇ,nì zhuǎn
7353,年度,6,,15,14,29,ㄋㄧㄢˊ ㄉㄨˋ,nián dù
7354,年間,6,,15,1,16,ㄋㄧㄢˊ ㄐㄧㄢ,nián jiān
7355,年齡層,6,,6,4,10,ㄋㄧㄢˊ ㄌㄧㄥˊ ㄘㄥˊ,nián líng céng
7356,年邁,6,,5,5,10,ㄋㄧㄢˊ ㄇㄞˋ,nián mài
7357,念念不忘,6,,5,2,7,ㄋㄧㄢˋ ㄋㄧㄢˋ ㄅㄨˊ ㄨㄤˋ,niàn niàn bú wàng
7358,年少,6,,9,3,12,ㄋㄧㄢˊ ㄕㄠˋ,nián shào
7359,年頭,6,,12,9,21,ㄋㄧㄢˊ ㄊㄡˊ,nián tóu
7360,念頭,6,,51,27,78,ㄋㄧㄢˋ ˙ㄊㄡ,niàn tou
7361,捏,6,,14,12,26,ㄋㄧㄝ,niē
7362,捏造,6,,5,1,6,ㄋㄧㄝ ㄗㄠˋ,niē zào
7363,凝聚,6,,11,21,32,ㄋㄧㄥˊ ㄐㄩˋ,níng jù
7364,凝視,6,,23,1,24,ㄋㄧㄥˊ ㄕˋ,níng shì
7365,扭,6,,11,2,13,ㄋㄧㄡˇ,niǔ
7366,扭曲,6,,26,8,34,ㄋㄧㄡˇ ㄑㄩ,niǔ qū
7367,扭轉,6,,15,9,24,ㄋㄧㄡˇ ㄓㄨㄢˇ,niǔ zhuǎn
7368,濃厚,6,,13,13,26,ㄋㄨㄥˊ ㄏㄡˋ,nóng hòu
7369,濃密,6,,7,4,11,ㄋㄨㄥˊ ㄇㄧˋ,nóng mì
7370,濃縮,6,,5,10,15,ㄋㄨㄥˊ ㄙㄨㄛ,nóng suō
7371,濃郁,6,,6,4,10,ㄋㄨㄥˊ ㄩˋ,nóng yù
7372,怒吼,6,,6,1,7,ㄋㄨˋ ㄏㄡˇ,nù hǒu
7373,怒火,6,,11,3,14,ㄋㄨˋ ㄏㄨㄛˇ,nù huǒ
7374,女郎,6,,9,1,10,ㄋㄩˇ ㄌㄤˊ,nǚ láng
7375,奴隸,6,,28,3,31,ㄋㄨˊ ㄌㄧˋ,nú lì
7376,怒氣,6,,17,3,20,ㄋㄨˋ ㄑㄧˋ,nù qì
7377,女神,6,,13,6,19,ㄋㄩˇ ㄕㄣˊ,nǚ shén
7378,暖身,6,,3,2,5,ㄋㄨㄢˇ ㄕㄣ,nuǎn shēn
7379,挪,6,,5,2,7,ㄋㄨㄛˊ,nuó
7380,懦弱,6,,7,1,8,ㄋㄨㄛˋ ㄖㄨㄛˋ,nuò ruò
7381,諾言,6,,6,2,8,ㄋㄨㄛˋ ㄧㄢˊ,nuò yán
7382,毆打,6,,7,1,8,ㄡ ㄉㄚˇ,ōu dǎ
7383,嘔吐,6,,12,4,16,ㄡˇ ㄊㄨˋ,ǒu tù
7384,派兵,6,,7,3,10,ㄆㄞˋ ㄅㄧㄥ,pài bīng
7385,排行,6,,6,7,13,ㄆㄞˊ ㄏㄤˊ,pái háng
7386,徘徊,6,,11,6,17,ㄆㄞˊ ㄏㄨㄞˊ,pái huái
7387,排擠,6,,7,5,12,ㄆㄞˊ ㄐㄧˇ,pái jǐ
7388,拍馬屁,6,,3,1,4,ㄆㄞ ㄇㄚˇ ㄆㄧˋ,pāi mǎ pì
7389,拍賣,6,,8,8,16,ㄆㄞ ㄇㄞˋ,pāi mài
7390,排名,6,,15,17,32,ㄆㄞˊ ㄇㄧㄥˊ,pái míng
7391,派上用場,6,,5,4,9,ㄆㄞˋ ㄕㄤˋ ㄩㄥˋ ㄔㄤˊ,pài shàng yòng cháng
7392,派系,6,,8,7,15,ㄆㄞˋ ㄒㄧˋ,pài xì
7393,攀,6,,9,4,13,ㄆㄢ,pān
7394,叛變,6,,11,2,13,ㄆㄢˋ ㄅㄧㄢˋ,pàn biàn
7395,判定,6,,9,7,16,ㄆㄢˋ ㄉㄧㄥˋ,pàn dìng
7396,判決,6,,14,5,19,ㄆㄢˋ ㄐㄩㄝˊ,pàn jué
7397,叛亂,6,,11,3,14,ㄆㄢˋ ㄌㄨㄢˋ,pàn luàn
7398,叛逆,6,,15,6,21,ㄆㄢˋ ㄋㄧˋ,pàn nì
7399,盤算,6,,11,2,13,ㄆㄢˊ ㄙㄨㄢˋ,pán suàn
7400,盤旋,6,,10,3,13,ㄆㄢˊ ㄒㄩㄢˊ,pán xuán
7401,龐大,6,,41,37,78,ㄆㄤˊ ㄉㄚˋ,páng dà
7402,旁觀,6,,11,2,13,ㄆㄤˊ ㄍㄨㄢ,páng guān
7403,徬徨,6,,7,4,11,ㄆㄤˊ ㄏㄨㄤˊ,páng huáng
7404,旁人,6,,14,3,17,ㄆㄤˊ ㄖㄣˊ,páng rén
7405,旁聽,6,,4,0,4,ㄆㄤˊ ㄊㄧㄥ,páng tīng
7406,砲,6,,8,4,12,ㄆㄠˋ,pào
7407,拋,6,,15,6,21,ㄆㄠ,pāo
7408,炮,6,,9,3,12,ㄆㄠˊ / ㄅㄠ / ㄆㄠˋ,páo / bāo / pào
7409,泡沫,6,,12,7,19,ㄆㄠˋ ㄇㄛˋ,pào mò
7410,咆哮,6,,10,2,12,ㄆㄠˊ ㄒㄧㄠ,páo xiāo
7411,配備,6,,9,9,18,ㄆㄟˋ ㄅㄟˋ,pèi bèi
7412,賠償,6,,8,3,11,ㄆㄟˊ ㄔㄤˊ,péi cháng
7413,配對,6,,13,2,15,ㄆㄟˋ ㄉㄨㄟˋ,pèi duì
7414,培訓,6,,7,19,26,ㄆㄟˊ ㄒㄩㄣˋ,péi xùn
7415,配音,6,,2,1,3,ㄆㄟˋ ㄧㄣ,pèi yīn
7416,培育,6,,11,19,30,ㄆㄟˊ ㄩˋ,péi yù
7417,配樂,6,,8,1,9,ㄆㄟˋ ㄩㄝˋ,pèi yuè
7418,捧,6,,26,7,33,ㄆㄥˇ,pěng
7419,砰,6,,9,4,13,ㄆㄥ,pēng
7420,蓬勃,6,,8,10,18,ㄆㄥˊ ㄅㄛˊ,péng bó
7421,碰觸/觸碰,6,,16,6,22,ㄆㄥˋ ㄔㄨˋ,pèng chù
7422,抨擊,6,,9,5,14,ㄆㄥ ㄐㄧˊ,pēng jí
7423,烹飪,6,,6,7,13,ㄆㄥ ㄖㄣˋ,pēng rèn
7424,烹調,6,,6,17,23,ㄆㄥ ㄊㄧㄠˊ,pēng tiáo
7425,膨脹,6,,15,7,22,ㄆㄥˊ ㄓㄤˋ,péng zhàng
7426,碰撞,6,,7,15,22,ㄆㄥˋ ㄓㄨㄤˋ,pèng zhuàng
7427,劈,6,,10,3,13,ㄆㄧ,pī
7428,疲憊,6,,17,7,24,ㄆㄧˊ ㄅㄟˋ,pí bèi
7429,疲累,6,,9,4,13,ㄆㄧˊ ㄌㄟˋ,pí lèi
7430,批判,6,,35,3,38,ㄆㄧ ㄆㄢˋ,pī pàn
7431,批准,6,,11,9,20,ㄆㄧ ㄓㄨㄣˇ,pī zhǔn
7432,偏愛,6,,8,1,9,ㄆㄧㄢ ㄞˋ,piān ài
7433,偏差,6,,13,8,21,ㄆㄧㄢ ㄔㄚ,piān chā
7434,片段,6,,17,9,26,ㄆㄧㄢˋ ㄉㄨㄢˋ,piàn duàn
7435,篇幅,6,,12,7,19,ㄆㄧㄢ ㄈㄨˊ,piān fú
7436,偏好,6,,16,3,19,ㄆㄧㄢ ㄏㄠˋ,piān hào
7437,偏離,6,,9,2,11,ㄆㄧㄢ ㄌㄧˊ,piān lí
7438,偏僻,6,,7,9,16,ㄆㄧㄢ ㄆㄧˋ,piān pì
7439,偏偏,6,,26,10,36,ㄆㄧㄢ ㄆㄧㄢ,piān piān
7440,偏食,6,,2,4,6,ㄆㄧㄢ ㄕˊ,piān shí
7441,偏向,6,,9,7,16,ㄆㄧㄢ ㄒㄧㄤˋ,piān xiàng
7442,偏遠,6,,9,31,40,ㄆㄧㄢ ㄩㄢˇ,piān yuǎn
7443,漂,6,,4,12,16,ㄆㄧㄠ / ㄆㄧㄠˇ / ㄆㄧㄠˋ,piāo / piǎo / piào
7444,票房,6,,4,5,9,ㄆㄧㄠˋ ㄈㄤˊ,piào fáng
7445,漂浮,6,,5,5,10,ㄆㄧㄠ ㄈㄨˊ,piāo fú
7446,瞥見,6,,8,0,8,ㄆㄧㄝ ㄐㄧㄢˋ,piē jiàn
7447,品,6,,8,19,27,ㄆㄧㄣˇ,pǐn
7448,拼,6,,8,24,32,ㄆㄧㄣ,pīn
7449,頻道,6,,8,5,13,ㄆㄧㄣˊ ㄉㄠˋ,pín dào
7450,品德,6,,13,5,18,ㄆㄧㄣˇ ㄉㄜˊ,pǐn dé
7451,貧乏,6,,6,3,9,ㄆㄧㄣˊ ㄈㄚˊ,pín fá
7452,品格,6,,9,6,15,ㄆㄧㄣˇ ㄍㄜˊ,pǐn gé
7453,貧苦,6,,6,7,13,ㄆㄧㄣˊ ㄎㄨˇ,pín kǔ
7454,貧困,6,,10,39,49,ㄆㄧㄣˊ ㄎㄨㄣˋ,pín kùn
7455,頻頻,6,,11,8,19,ㄆㄧㄣˊ ㄆㄧㄣˊ,pín pín
7456,聘請,6,,10,5,15,ㄆㄧㄣˋ ㄑㄧㄥˇ,pìn qǐng
7457,品行,6,,5,1,6,ㄆㄧㄣˇ ㄒㄧㄥˋ,pǐn xìng
7458,聘用,6,,5,2,7,ㄆㄧㄣˋ ㄩㄥˋ,pìn yòng
7459,平淡,6,,6,3,9,ㄆㄧㄥˊ ㄉㄢˋ,píng dàn
7460,評斷,6,,7,3,10,ㄆㄧㄥˊ ㄉㄨㄢˋ,píng duàn
7461,平和,6,,10,8,18,ㄆㄧㄥˊ ㄏㄜˊ,píng hé
7462,憑藉,6,,11,7,18,ㄆㄧㄥˊ ㄐㄧㄝˋ,píng jiè
7463,瓶頸,6,,6,15,21,ㄆㄧㄥˊ ㄐㄧㄥˇ,píng jǐng
7464,平面,6,,12,9,21,ㄆㄧㄥˊ ㄇㄧㄢˋ,píng miàn
7465,平民,6,,16,12,28,ㄆㄧㄥˊ ㄇㄧㄣˊ,píng mín
7466,平台,6,,23,26,49,ㄆㄧㄥˊ ㄊㄞˊ,píng tái
7467,平坦,6,,12,9,21,ㄆㄧㄥˊ ㄊㄢˇ,píng tǎn
7468,平穩,6,,9,7,16,ㄆㄧㄥˊ ㄨㄣˇ,píng wěn
7469,平息,6,,11,8,19,ㄆㄧㄥˊ ㄒㄧˊ,píng xí
7470,平行,6,,12,6,18,ㄆㄧㄥˊ ㄒㄧㄥˊ,píng xíng
7471,評語,6,,10,2,12,ㄆㄧㄥˊ ㄩˇ,píng yǔ
7472,頗,6,,80,8,88,ㄆㄛˇ,pǒ
7473,迫不及待,6,,11,9,20,ㄆㄛˋ ㄅㄨˋ ㄐㄧˊ ㄉㄞˋ,pò bù jí dài
7474,破除,6,,5,3,8,ㄆㄛˋ ㄔㄨˊ,pò chú
7475,迫害,6,,12,7,19,ㄆㄛˋ ㄏㄞˋ,pò hài
7476,破解,6,,6,2,8,ㄆㄛˋ ㄐㄧㄝˇ,pò jiě
7477,破爛,6,,8,2,10,ㄆㄛˋ ㄌㄢˋ,pò làn
7478,魄力,6,,5,1,6,ㄆㄛˋ ㄌㄧˋ,pò lì
7479,破裂,6,,12,10,22,ㄆㄛˋ ㄌㄧㄝˋ,pò liè
7480,迫切,6,,13,5,18,ㄆㄛˋ ㄑㄧㄝˋ,pò qiè
7481,迫使,6,,16,10,26,ㄆㄛˋ ㄕˇ,pò shǐ
7482,破碎,6,,10,12,22,ㄆㄛˋ ㄙㄨㄟˋ,pò suì
7483,鋪2/舖2,6,,32,26,58,ㄆㄨˋ,pù
7484,譜,6,,15,9,24,ㄆㄨˇ,pǔ
7485,撲,6,,21,5,26,ㄆㄨ,pū
7486,鋪1/舖1,6,,32,26,58,ㄆㄨ ,pū
7487,曝光,6,,6,5,11,ㄆㄨˋ ㄍㄨㄤ,pù guāng
7488,普及,6,,15,16,31,ㄆㄨˇ ㄐㄧˊ,pǔ jí
7489,僕人,6,,23,1,24,ㄆㄨˊ ㄖㄣˊ,pú rén
7490,菩薩,6,,21,71,92,ㄆㄨˊ ㄙㄚˋ,pú sà
7491,樸實,6,,7,6,13,ㄆㄨˊ ㄕˊ,pú shí
7492,樸素,6,,5,3,8,ㄆㄨˊ ㄙㄨˋ,pú sù
7493,其,6,,886,93,979,ㄑㄧˊ,qí
7494,迄,6,,14,3,17,ㄑㄧˋ,qì
7495,豈,6,,15,0,15,ㄑㄧˇ,qǐ
7496,漆,6,,10,4,14,ㄑㄧ,qī
7497,起步,6,,9,9,18,ㄑㄧˇ ㄅㄨˋ,qǐ bù
7498,奇才,6,,5,1,6,ㄑㄧˊ ㄘㄞˊ,qí cái
7499,器材,6,,13,17,30,ㄑㄧˋ ㄘㄞˊ,qì cái
7500,啟程,6,,7,4,11,ㄑㄧˇ ㄔㄥˊ,qǐ chéng
7501,氣喘,6,,14,8,22,ㄑㄧˋ ㄔㄨㄢˇ,qì chuǎn
7502,祈禱,6,,28,28,56,ㄑㄧˊ ㄉㄠˇ,qí dǎo
7503,啟發,6,,36,39,75,ㄑㄧˇ ㄈㄚ,qǐ fā
7504,氣憤,6,,15,1,16,ㄑㄧˋ ㄈㄣˋ,qì fèn
7505,起伏,6,,21,12,33,ㄑㄧˇ ㄈㄨˊ,qǐ fú
7506,氣概,6,,8,1,9,ㄑㄧˋ ㄍㄞˋ,qì gài
7507,乞丐,6,,11,7,18,ㄑㄧˇ ㄍㄞˋ,qǐ gài
7508,漆黑,6,,14,3,17,ㄑㄧ ㄏㄟ,qī hēi
7509,其後,6,,20,2,22,ㄑㄧˊ ㄏㄡˋ,qí hòu
7510,氣呼呼,6,,3,1,4,ㄑㄧˋ ㄏㄨ ㄏㄨ,qì hū hū
7511,企畫/企劃,6,,10,10,20,ㄑㄧˋ ㄏㄨㄚˋ,qì huà
7512,起火,6,,5,5,10,ㄑㄧˇ ㄏㄨㄛˇ,qǐ huǒ
7513,契機,6,,11,11,22,ㄑㄧˋ ㄐㄧ,qì jī
7514,其間,6,,10,1,11,ㄑㄧˊ ㄐㄧㄢ,qí jiān
7515,起勁,6,,7,2,9,ㄑㄧˇ ㄐㄧㄣˋ,qǐ jìn
7516,起居,6,,9,7,16,ㄑㄧˇ ㄐㄩ,qǐ jū
7517,淒涼,6,,7,2,9,ㄑㄧ ㄌㄧㄤˊ,qī liáng
7518,啟蒙,6,,13,5,18,ㄑㄧˇ ㄇㄥˊ,qǐ méng
7519,氣餒,6,,6,3,9,ㄑㄧˋ ㄋㄟˇ,qì něi
7520,氣派,6,,5,2,7,ㄑㄧˋ ㄆㄞˋ,qì pài
7521,期盼,6,,12,18,30,ㄑㄧˊ ㄆㄢˋ,qí pàn
7522,祈求,6,,14,19,33,ㄑㄧˊ ㄑㄧㄡˊ,qí qiú
7523,齊全,6,,5,2,7,ㄑㄧˊ ㄑㄩㄢˊ,qí quán
7524,棄權,6,,1,1,2,ㄑㄧˋ ㄑㄩㄢˊ,qì quán
7525,氣色,6,,4,1,5,ㄑㄧˋ ㄙㄜˋ,qì sè
7526,騎士,6,,14,4,18,ㄑㄧˊ ㄕˋ,qí shì
7527,氣勢,6,,15,6,21,ㄑㄧˋ ㄕˋ,qì shì
7528,啟示,6,,18,9,27,ㄑㄧˇ ㄕˋ,qǐ shì
7529,起訴,6,,6,2,8,ㄑㄧˇ ㄙㄨˋ,qǐ sù
7530,氣體,6,,11,47,58,ㄑㄧˋ ㄊㄧˇ,qì tǐ
7531,企圖,6,,47,16,63,ㄑㄧˋ ㄊㄨˊ,qì tú
7532,欺侮,6,,5,0,5,ㄑㄧ ㄨˇ,qī wǔ
7533,氣息,6,,22,14,36,ㄑㄧˋ ㄒㄧˊ,qì xí
7534,旗下,6,,11,4,15,ㄑㄧˊ ㄒㄧㄚˋ,qí xià
7535,起先,6,,9,3,12,ㄑㄧˇ ㄒㄧㄢ,qǐ xiān
7536,期許,6,,9,17,26,ㄑㄧˊ ㄒㄩˇ,qí xǔ
7537,起源,6,,13,9,22,ㄑㄧˇ ㄩㄢˊ,qǐ yuán
7538,契約,6,,15,3,18,ㄑㄧˋ ㄩㄝ,qì yuē
7539,旗幟,6,,9,5,14,ㄑㄧˊ ㄓˋ,qí zhì
7540,棋子,6,,5,1,6,ㄑㄧˊ ㄗˇ,qí zǐ
7541,七嘴八舌,6,,4,1,5,ㄑㄧ ㄗㄨㄟˇ ㄅㄚ ㄕㄜˊ,qī zuǐ bā shé
7542,齊,6,,33,22,55,ㄑㄧˊ/ㄗ,qí/zī
7543,恰到好處,6,,5,1,6,ㄑㄧㄚˋ ㄉㄠˋ ㄏㄠˇ ㄔㄨˋ,qià dào hǎo chù
7544,恰好,6,,16,3,19,ㄑㄧㄚˋ ㄏㄠˇ,qià hǎo
7545,恰恰,6,,13,1,14,ㄑㄧㄚˋ ㄑㄧㄚˋ,qià qià
7546,恰巧,6,,8,1,9,ㄑㄧㄚˋ ㄑㄧㄠˇ,qià qiǎo
7547,洽商,6,,1,1,2,ㄑㄧㄚˋ ㄕㄤ,qià shāng
7548,洽談,6,,2,1,3,ㄑㄧㄚˋ ㄊㄢˊ,qià tán
7549,千變萬化,6,,3,2,5,ㄑㄧㄢ ㄅㄧㄢˋ ㄨㄢˋ ㄏㄨㄚˋ,qiān biàn wàn huà
7550,潛藏,6,,9,4,13,ㄑㄧㄢˊ ㄘㄤˊ,qián cáng
7551,前程,6,,10,1,11,ㄑㄧㄢˊ ㄔㄥˊ,qián chéng
7552,虔誠,6,,15,26,41,ㄑㄧㄢˊ ㄔㄥˊ,qián chéng
7553,簽訂,6,,12,9,21,ㄑㄧㄢ ㄉㄧㄥˋ,qiān dìng
7554,前額,6,,14,2,16,ㄑㄧㄢˊ ㄜˊ,qián é
7555,千古,6,,12,3,15,ㄑㄧㄢ ㄍㄨˇ,qiān gǔ
7556,千金,6,,7,3,10,ㄑㄧㄢ ㄐㄧㄣ,qiān jīn
7557,前景,6,,11,6,17,ㄑㄧㄢˊ ㄐㄧㄥˇ,qián jǐng
7558,前科,6,,2,1,3,ㄑㄧㄢˊ ㄎㄜ,qián kē
7559,牽連,6,,9,3,12,ㄑㄧㄢ ㄌㄧㄢˊ,qiān lián
7560,潛能,6,,27,10,37,ㄑㄧㄢˊ ㄋㄥˊ,qián néng
7561,前傾,6,,8,0,8,ㄑㄧㄢˊ ㄑㄧㄥ,qián qīng
7562,欠缺,6,,16,8,24,ㄑㄧㄢˋ ㄑㄩㄝ,qiàn quē
7563,前人,6,,8,7,15,ㄑㄧㄢˊ ㄖㄣˊ,qián rén
7564,牽涉,6,,7,3,10,ㄑㄧㄢ ㄕㄜˋ,qiān shè
7565,前身,6,,7,1,8,ㄑㄧㄢˊ ㄕㄣ,qián shēn
7566,前述,6,,15,1,16,ㄑㄧㄢˊ ㄕㄨˋ,qián shù
7567,簽署,6,,6,16,22,ㄑㄧㄢ ㄕㄨˋ,qiān shù
7568,潛水,6,,6,16,22,ㄑㄧㄢˊ ㄕㄨㄟˇ,qián shuǐ
7569,前提,6,,23,13,36,ㄑㄧㄢˊ ㄊㄧˊ,qián tí
7570,前夕,6,,11,7,18,ㄑㄧㄢˊ ㄒㄧˋ,qián xì
7571,前線,6,,16,4,20,ㄑㄧㄢˊ ㄒㄧㄢˋ,qián xiàn
7572,千辛萬苦,6,,3,6,9,ㄑㄧㄢ ㄒㄧㄣ ㄨㄢˋ ㄎㄨˇ,qiān xīn wàn kǔ
7573,前言,6,,8,1,9,ㄑㄧㄢˊ ㄧㄢˊ,qián yán
7574,歉意,6,,7,1,8,ㄑㄧㄢˋ ㄧˋ,qiàn yì
7575,潛意識,6,,25,2,27,ㄑㄧㄢˊ ㄧˋ ㄕˋ,qián yì shì
7576,潛在,6,,26,10,36,ㄑㄧㄢˊ ㄗㄞˋ,qián zài
7577,譴責,6,,12,14,26,ㄑㄧㄢˇ ㄗㄜˊ,qiǎn zé
7578,前者,6,,26,1,27,ㄑㄧㄢˊ ㄓㄜˇ,qián zhě
7579,牽制,6,,7,4,11,ㄑㄧㄢ ㄓˋ,qiān zhì
7580,腔,6,,12,7,19,ㄑㄧㄤ,qiāng
7581,腔調,6,,5,2,7,ㄑㄧㄤ ㄉㄧㄠˋ,qiāng diào
7582,強悍,6,,7,4,11,ㄑㄧㄤˊ ㄏㄢˋ,qiáng hàn
7583,搶劫,6,,10,4,14,ㄑㄧㄤˇ ㄐㄧㄝˊ,qiǎng jié
7584,搶救,6,,7,33,40,ㄑㄧㄤˇ ㄐㄧㄡˋ,qiǎng jiù
7585,強力,6,,12,10,22,ㄑㄧㄤˊ ㄌㄧˋ,qiáng lì
7586,強盛,6,,5,3,8,ㄑㄧㄤˊ ㄕㄥˋ,qiáng shèng
7587,強勢,6,,11,9,20,ㄑㄧㄤˊ ㄕˋ,qiáng shì
7588,搶先,6,,8,2,10,ㄑㄧㄤˇ ㄒㄧㄢ,qiǎng xiān
7589,強行,6,,8,3,11,ㄑㄧㄤˇ ㄒㄧㄥˊ,qiǎng xíng
7590,強硬,6,,8,16,24,ㄑㄧㄤˊ ㄧㄥˋ,qiáng yìng
7591,強制,6,,13,8,21,ㄑㄧㄤˇ ㄓˋ,qiǎng zhì
7592,瞧不起,6,,8,3,11,ㄑㄧㄠˊ ㄅㄨˋ ㄑㄧˇ,qiáo bù qǐ
7593,憔悴,6,,7,2,9,ㄑㄧㄠˊ ㄘㄨㄟˋ,qiáo cuì
