index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
474,經驗,2,核心詞,363,239,602,ㄐㄧㄥ ㄧㄢˋ,jīngyàn 
475,緊張,2,核心詞,111,98,209,ㄐㄧㄣˇ ㄓㄤ,jǐnzhāng 
476,句,2,核心詞,323,264,587,ㄐㄩˋ,jù
477,決定,2,核心詞,398,244,642,ㄐㄩㄝˊ ㄉㄧㄥˋ  ,juédìng   
478,開始,2,核心詞,985,1483,2468,ㄎㄞ ㄕˇ,kāishǐ 
479,可愛,2,核心詞,56,117,173,ㄎㄜˇ ㄞˋ,kěài 
480,客人,2,9.購物、商店,82,101,183,ㄎㄜˋ ㄖㄣˊ,kèrén 
481,哭,2,核心詞,136,116,252,ㄎㄨ ,kū 
482,苦,2,核心詞,78,142,220,ㄎㄨˇ,kǔ
483,啦,2,核心詞,268,1199,1467,˙ㄌㄚ ,la
484,拉,2,核心詞,118,93,211,ㄌㄚ,lā
485,老闆/老板,2,9.購物、商店,112,80,192,ㄌㄠˇ ㄅㄢˇ ,lǎobǎn
486,老人,2,核心詞,121,79,200,ㄌㄠˇ ㄖㄣˊ,lǎorén
487,離,2,核心詞,108,80,188,ㄌㄧˊ ,lí 
488,臉,2,7.身體、醫療,311,117,428,ㄌㄧㄢˇ,liǎn
489,練習,2,8.教育、學習,94,100,194,ㄌㄧㄢˋ ㄒㄧˊ ,liànxí  
490,聊天/聊,2,6.社交、人際,79,120,199,ㄌㄧㄠˊ ㄊㄧㄢ / ㄌㄧㄠˊ,liáotiān / liáo 
491,離開,2,核心詞,287,158,445,ㄌㄧˊ ㄎㄞ,líkāi 
492,旅行,2,5.交通、旅遊,65,66,131,ㄌㄩˇ ㄒㄧㄥˊ ,lǚxíng  
493,綠,2,核心詞,63,134,197,ㄌㄩˋ ,lǜ 
494,馬,2,1.個人資料,194,108,302,ㄇㄚˇ ,mǎ 
495,賣,2,核心詞,128,219,347,ㄇㄞˋ ,mài 
496,貓,2,4.休閒、娛樂,69,49,118,ㄇㄠ,māo
497,名,2,核心詞,430,307,737,ㄇㄧㄥˊ ,míng
498,哪2,2,核心詞,275,382,657,˙ㄋㄚ,na
499,那麼,2,核心詞,488,795,1283,ㄋㄚˋ ˙ㄇㄜ,nàme
500,南,2,核心詞,77,98,175,ㄋㄢˊ,nán
501,能力,2,核心詞,389,173,562,ㄋㄥˊ ㄌㄧˋ,nénglì 
502,年輕,2,1.個人資料,205,158,363,ㄋㄧㄢˊ ㄑㄧㄥ,niánqīng 
503,鳥,2,4.休閒、娛樂,86,111,197,ㄋㄧㄠˇ ,niǎo  
504,努力,2,核心詞,258,290,548,ㄋㄨˇ ㄌㄧˋ ,nǔlì  
505,跑,2,核心詞,199,145,344,ㄆㄠˇ  ,pǎo  
506,片,2,核心詞,266,254,520,ㄆㄧㄢˋ,piàn
507,票,2,4.休閒、娛樂,30,29,59,ㄆㄧㄠˋ,piào
508,平常,2,核心詞,73,182,255,ㄆㄧㄥˊ ㄔㄤˊ,píngcháng 
509,騎,2,核心詞,91,89,180,ㄑㄧˊ,qí
510,奇怪,2,16.情緒、態度,117,96,213,ㄑㄧˊ ㄍㄨㄞˋ,qíguài 
511,汽車,2,5.交通、旅遊,122,46,168,ㄑㄧˋ ㄔㄜ,qìchē 
512,清楚,2,核心詞,299,201,500,ㄑㄧㄥ ㄔㄨˇ,qīngchǔ 
513,其他/其它,2,核心詞,735,426,1161,ㄑㄧˊ ㄊㄚ ,qítā  
514,全,2,核心詞,690,726,1416,ㄑㄩㄢˊ,quán
515,全部,2,核心詞,126,230,356,ㄑㄩㄢˊ ㄅㄨˋ,quánbù 
516,讓,2,核心詞,2186,2818,5004,ㄖㄤˋ ,ràng 
517,認識,2,核心詞,198,264,462,ㄖㄣˋ ㄕˋ,rènshì 
518,認為,2,核心詞,760,343,1103,ㄖㄣˋ ㄨㄟˊ,rènwéi 
519,如果,2,核心詞,1392,1604,2996,ㄖㄨˊ ㄍㄨㄛˇ,rúguǒ 
520,聲2,2,核心詞,230,65,295,ㄕㄥ ,shēng 
521,聲音/聲1,2,核心詞,549,259,808,ㄕㄥ ㄧㄣ / ㄕㄥ,shēngyīn / shēng 
522,試,2,核心詞,182,92,274,ㄕˋ ,shì 
523,市場,2,2.日常起居,221,143,364,ㄕˋ ㄔㄤˇ,shìchǎng 
524,世界,2,核心詞,605,775,1380,ㄕˋ ㄐㄧㄝˋ,shìjiè 
525,事情,2,核心詞,436,865,1301,ㄕˋ ㄑㄧㄥˊ,shìqíng 
526,樹,2,核心詞,156,375,531,ㄕㄨˋ ,shù 
527,雙,2,核心詞,80,61,141,ㄕㄨㄤ ,shuāng 
528,送,2,核心詞,142,182,324,ㄙㄨㄥˋ  ,sòng  
529,算,2,核心詞,146,215,361,ㄙㄨㄢˋ,suàn
530,雖然/雖,2,核心詞,777,560,1337,ㄙㄨㄟ ㄖㄢˊ / ㄙㄨㄟ,suīrán / suī 
531,所,2,核心詞,1751,912,2663,ㄙㄨㄛˇ,suǒ
532,所有,2,核心詞,563,428,991,ㄙㄨㄛˇ ㄧㄡˇ,suǒyǒu 
533,台/臺,2,核心詞,127,241,368,ㄊㄞˊ ,tái 
534,特別,2,核心詞,345,605,950,ㄊㄜˋ ㄅㄧㄝˊ ,tèbié  
535,替,2,核心詞,154,72,226,ㄊㄧˋ,tì
536,條,2,核心詞,450,328,778,ㄊㄧㄠˊ ,tiáo 
537,聽到,2,核心詞,255,179,434,ㄊㄧㄥ ㄉㄠˋ,tīngdào 
538,聽說,2,核心詞,113,120,233,ㄊㄧㄥ ㄕㄨㄛ,tīngshuō 
539,圖,2,核心詞,131,76,207,ㄊㄨˊ ,tú 
540,往,2,核心詞,382,338,720,ㄨㄤˇ,wǎng
541,網路,2,核心詞,131,104,235,ㄨㄤˇ ㄌㄨˋ,wǎnglù
542,味道/味,2,10.餐飲、烹飪,89,175,264,ㄨㄟˋ ㄉㄠˋ / ㄨㄟˋ,wèidào / wèi 
543,文化,2,核心詞,343,304,647,ㄨㄣˊ ㄏㄨㄚˋ,wénhuà 
544,屋子/屋,2,2.日常起居,165,62,227,ㄨ ˙ㄗ / ㄨ,wūzi / wū 
545,西,2,核心詞,153,181,334,ㄒㄧ,xī
546,洗,2,核心詞,56,209,265,ㄒㄧˇ ,xǐ 
547,香,2,核心詞,52,151,203,ㄒㄧㄤ,xiāng
548,想法,2,核心詞,231,188,419,ㄒㄧㄤˇ ㄈㄚˇ,xiǎngfǎ 
549,向,2,核心詞,893,259,1152,ㄒㄧㄤˋ,xiàng
550,相片/照片,2,4.休閒、娛樂,102,123,225,ㄒㄧㄤˋ ㄆㄧㄢˋ / ㄓㄠˋ ㄆㄧㄢˋ,xiàngpiàn / zhàopiàn  
551,相信,2,核心詞,338,201,539,ㄒㄧㄤ ㄒㄧㄣˋ,xiāngxìn 
552,小時候,2,核心詞,55,138,193,ㄒㄧㄠˇ ㄕˊ ㄏㄡˋ,xiǎoshíhòu  
553,小心,2,核心詞,97,149,246,ㄒㄧㄠˇ ㄒㄧㄣ,xiǎoxīn 
554,小朋友,2,核心詞,35,459,494,ㄒㄧㄠˇ ㄆㄥˊ ㄧㄡˇ,xiǎpéngyǒu 
555,笑,2,核心詞,251,105,356,ㄒㄧㄠˋ,xiào
556,夏天/夏,2,核心詞,98,167,265,ㄒㄧㄚˋ ㄊㄧㄢ / ㄒㄧㄚˋ,xiàtiān / xià 
557,習慣,2,核心詞,183,215,398,ㄒㄧˊ ㄍㄨㄢˋ ,xíguàn  
558,心,2,核心詞,694,715,1409,ㄒㄧㄣ,xīn
559,辛苦,2,核心詞,57,312,369,ㄒㄧㄣ ㄎㄨˇ,xīnkǔ
560,信,2,核心詞,233,65,298,ㄒㄧㄣˋ ,xìn 
561,行1,2,核心詞,226,190,416,ㄒㄧㄥˊ ,xíng 
562,希望,2,核心詞,499,916,1415,ㄒㄧ ㄨㄤˋ,xīwàng 
563,學習,2,核心詞,497,380,877,ㄒㄩㄝˊ ㄒㄧˊ,xuéxí 
564,需要/需,2,核心詞,791,682,1473,ㄒㄩ ㄧㄠˋ / ㄒㄩ,xūyào / xū
565,呀,2,核心詞,238,304,542,˙ㄧㄚ ,ya 
566,樣子,2,核心詞,122,193,315,ㄧㄤˋ ˙ㄗ,yàngzi 
567,顏色,2,核心詞,73,134,207,ㄧㄢˊ ㄙㄜˋ,yánsè 
568,醫院,2,7.身體、醫療,137,218,355,ㄧ ㄩㄢˋ ,yīyuàn  
569,一半,2,核心詞,88,84,172,ㄧˊ　 ㄅㄢˋ,yíbàn 
570,一下子/一下,2,核心詞,374,631,1005,ㄧˊ　 ㄒㄧㄚˋ ˙ㄗ / ㄧˊ　 ㄒㄧㄚˋ,yíxiàzi/ yíxià
571,一直,2,核心詞,476,813,1289,ㄧˋ ㄓˊ ,yìzhí  
572,以為,2,核心詞,229,117,346,ㄧˇ ㄨㄟˊ,yǐwéi 
573,已經,2,核心詞,978,1519,2497,ㄧˇ ㄐㄧㄥ,yǐjīng
574,銀行,2,11.公共服務,91,108,199,ㄧㄣˊ ㄏㄤˊ,yínháng
575,音樂,2,4.休閒、娛樂,148,104,252,ㄧㄣ ㄩㄝˋ ,yīnyuè  
576,有的,2,核心詞,125,218,343,ㄧㄡˇ ㄉㄜ˙,yǒude 
577,遠,2,核心詞,214,178,392,ㄩㄢˇ,yuǎn
578,願意,2,核心詞,201,224,425,ㄩㄢˋ ㄧˋ,yuànyì 
579,語言/語,2,1.個人資料,219,87,306,ㄩˇ ㄧㄢˊ ,yǔyán/yǔ  
580,怎麼辦,2,核心詞,75,158,233,ㄗㄣˇ ˙ㄇㄜ ㄅㄢˋ,zěnmebàn  
581,長2,2,核心詞,434,469,903,ㄓㄤˇ ,zhǎng 
582,找到,2,核心詞,272,228,500,ㄓㄠˇ ㄉㄠˋ,zhǎodào
583,這麼,2,核心詞,468,851,1319,ㄓㄜˋ ˙ㄇㄜ,zhème
584,支,2,核心詞,100,95,195,ㄓ,zhī
585,隻,2,核心詞,389,277,666,ㄓ ,zhī 
586,中間,2,核心詞,73,142,215,ㄓㄨㄥ ㄐㄧㄢ,zhōngjiān 
